,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight
18,=17,José Quiles,ESP,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,19 October 1997,0,0
19,=17,Peter McGrail,GBR,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,31 May 1996,0,0
20,=17,Mohammad Al-Wadi,JOR,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,17 August 1985,0,0
21,=17,Keevin Allicock,GUY,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,9 June 1999,0,0
22,=17,Roland Gálos,HUN,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,26 May 1995,0,0
23,=17,Mohamed Hamout,MAR,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,11 December 1993,167,56
24,=17,Mykola Butsenko,UKR,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,25 June 1991,170,56
25,=17,Tayfur Əliyev,AZE,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,1 January 1997,0,0
26,=17,Hamsat Shadalov,GER,NA,"Featherweight (52-57 kilograms), Men",BOX,Male,14 October 1998,0,0
0,1,Andy Cruz,CUB,Gold,"Lightweight (57-63 kilograms), Men",BOX,Male,12 August 1995,0,0
1,2,Keyshawn Davis,USA,Silver,"Lightweight (57-63 kilograms), Men",BOX,Male,28 February 1999,175,
2,=3,Harry Garside,AUS,Bronze,"Lightweight (57-63 kilograms), Men",BOX,Male,22 July 1997,0,0
3,=3,Hovhannes Bachkov,ARM,Bronze,"Lightweight (57-63 kilograms), Men",BOX,Male,2 December 1992,173,64
4,=5,Wanderson de Oliveira,BRA,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,26 March 1997,0,0
5,=5,Gabil Mamedov,ROC,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,19 April 1994,0,0
6,=5,Zakir Safiullin,KAZ,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,11 November 1986,0,0
7,=5,Elnur Abduraimov,UZB,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,10 June 1994,0,0
8,=9,Luke McCormack,GBR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,8 June 1995,0,0
9,=9,Sofiane Oumiha,FRA,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,23 December 1994,174,60
10,=9,Jonas Jonas,NAM,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,24 November 1993,181,64
11,=9,Cavid Çələbiyev,AZE,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,17 May 1992,170,56
12,=9,Dzmitry Asanau,BLR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,18 May 1996,176,56
13,=9,Richarno Colin,MRI,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,17 July 1987,180,64
14,=9,Daisuke Narimatsu,JPN,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,14 December 1989,172,60
15,=9,Bakhodur Usmonov,TJK,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,21 December 1997,0,0
16,=17,John Ume,PNG,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,19 August 1996,0,0
17,=17,Alston Ryan,ANT,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,9 October 1993,0,0
18,=17,Enrico Lacruz,NED,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,31 August 1993,181,60
19,=17,Wessam Slamana,EOR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,26 October 1985,160,56
20,=17,Damian Durkacz,POL,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,30 January 1999,0,0
21,=17,Leodán Pezo,PER,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,1 November 1993,0,0
22,=17,Baatarsükhiin Chinzorig,MGL,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,21 September 1991,174,64
23,=17,Manish Kaushik,IND,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,5 March 1996,0,0
24,=17,Yaroslav Khartsyz,UKR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,7 May 1997,0,0
25,=17,Obada Al-Kasbeh,JOR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,30 July 1994,166,64
26,=17,Abdelhaq Nadir,MAR,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,15 June 1993,0,0
27,=17,Fiston Mbaya Mulumba,COD,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,27 January 1996,0,0
28,=17,Leonel de los Santos,DOM,NA,"Lightweight (57-63 kilograms), Men",BOX,Male,14 December 1994,170,52
0,1,Roniel Iglesias,CUB,Gold,"Welterweight (63-69 kilograms), Men",BOX,Male,14 August 1988,177,64
1,2,Pat McCormack,GBR,Silver,"Welterweight (63-69 kilograms), Men",BOX,Male,8 June 1995,182,64
2,=3,Andrey Zamkovoy,ROC,Bronze,"Welterweight (63-69 kilograms), Men",BOX,Male,4 July 1987,174,69
3,=3,Aidan Walsh,IRL,Bronze,"Welterweight (63-69 kilograms), Men",BOX,Male,28 March 1997,0,0
4,=5,Delante Johnson,USA,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,13 August 1998,178,
5,=5,Bobo-Usmon Baturov,UZB,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,16 November 1994,0,0
6,=5,Eskerkhan Madiev,GEO,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,12 February 1998,0,0
7,=5,Merven Clair,MRI,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,2 July 1993,178,75
8,=9,Sewonrets Okazawa,JPN,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,21 December 1995,0,0
9,=9,Aliaksandr Radzionau,BLR,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,14 June 2000,0,0
10,=9,Steven Zimba,ZAM,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,10 January 2001,0,0
11,=9,Albert Mengue Ayissi,CMR,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,18 April 1999,0,0
12,=9,Ablaykhan Zhusupov,KAZ,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,10 January 1997,175,64
13,=9,Rohan Polanco,DOM,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,15 October 1998,0,0
14,=9,Shadiri Bwogi,UGA,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,25 October 1996,0,0
15,=9,Zeyad Eashash,JOR,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,23 October 1998,0,0
16,=17,Brian Arregui,ARG,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,15 January 2000,177,69
17,=17,Lorenzo Sotomayor,AZE,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,16 February 1985,185,64
18,=17,Wyatt Sanford,CAN,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,3 November 1998,0,0
19,=17,Vikas Krishan Yadav,IND,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,10 February 1992,177,69
20,=17,Necat Ekinci,TUR,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,20 October 1999,0,0
21,=17,Marion Faustino Ah Tong,SAM,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,1 April 2000,0,0
22,=17,Thabiso Dlamini,SWZ,NA,"Welterweight (63-69 kilograms), Men",BOX,Male,27 May 1993,0,0
0,1,Hebert Conceição Sousa,BRA,Gold,"Middleweight (69-75 kilograms), Men",BOX,Male,28 February 1998,0,0
1,2,Oleksandr Khyzhniak,UKR,Silver,"Middleweight (69-75 kilograms), Men",BOX,Male,3 August 1995,0,0
2,=3,Gleb Bakshi,ROC,Bronze,"Middleweight (69-75 kilograms), Men",BOX,Male,12 November 1995,0,0
3,=3,Eumir Marcial,PHI,Bronze,"Middleweight (69-75 kilograms), Men",BOX,Male,29 October 1995,0,0
4,=5,Abilkhan Amankul,KAZ,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,29 July 1997,0,0
5,=5,Euri Cedeno,DOM,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,1 November 1999,0,0
6,=5,"Darrelle Valsaint, Jr.",HAI,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,29 May 2000,0,0
7,=5,Arman Darchinyan,ARM,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,30 April 1994,0,0
8,=9,Tuohetaerbieke Tanglatihan,CHN,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,18 November 1996,0,0
9,=9,Yuito Moriwaki,JPN,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,8 August 1996,0,0
10,=9,Troy Isley,USA,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,5 September 1998,178,
11,=9,Younes Nemouchi,ALG,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,16 September 1993,0,0
12,=9,Fanat Kakhramonov,UZB,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,23 December 1996,0,0
13,=9,Francisco Verón,ARG,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,28 October 1998,0,0
14,=9,David Tshama Mwenekabwe,COD,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,12 December 1996,0,0
15,=9,Andrej Csemez,SVK,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,6 May 1998,186,65
16,=17,Eldric Sella,EOR,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,24 January 1997,0,0
17,=17,Ashish Kumar,IND,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,18 July 1994,0,0
18,=17,Seyedshahin Mousavi,IRI,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,25 April 1994,0,0
19,=17,Vitali Bandarenka,BLR,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,2 October 1985,0,0
20,=17,David Ssemujju,UGA,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,11 November 1992,0,0
21,=17,Giorgi Kharabadze,GEO,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,11 May 1997,0,0
22,=17,Adam Chartoi,SWE,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,17 March 1997,0,0
23,=17,Wilfred Seyi,CMR,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,23 January 1998,183,75
24,=17,Aaron Solomon Prince,TTO,NA,"Middleweight (69-75 kilograms), Men",BOX,Male,9 January 1986,0,0
0,1,Arlen López,CUB,Gold,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,21 February 1993,178,75
1,2,Ben Whittaker,GBR,Silver,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,6 June 1997,0,0
2,=3,Loren Alfonso,AZE,Bronze,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,28 July 1995,0,0
3,=3,Imam Khatayev,ROC,Bronze,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,31 August 1994,0,0
4,=5,Rogelio Romero,MEX,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,23 February 1995,0,0
5,=5,Keno Machado,BRA,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,11 July 2000,187,74
6,=5,Bayram Malkan,TUR,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,8 September 1999,0,0
7,=5,Gazimagomed Jalidov,ESP,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,16 March 1995,0,0
8,=9,Mohamed Houmri,ALG,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,13 March 1993,0,0
9,=9,Abdel Rahman Salah Orabi,EGY,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,9 October 1987,185,81
10,=9,Dilshod Ruzmetov,UZB,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,12 March 1999,0,0
11,=9,Bekzad Nurdauletov,KAZ,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,10 April 1998,0,0
12,=9,Luka Plantić,CRO,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,29 October 1996,0,0
13,=9,Chen Daxiang,CHN,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,27 January 1996,0,0
14,=9,Shakul Samed,GHA,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,17 March 1999,0,0
15,=9,Paulo Aokuso,AUS,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,20 May 1997,0,0
16,=17,Mohamed Assaghir,MAR,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,27 May 1993,0,0
17,=17,Jorge Luis Vivas,COL,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,22 January 1988,172,69
18,=17,Nalek Korbaj,VEN,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,8 October 1995,0,0
19,=17,Emmet Brennan,IRL,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,4 May 1991,0,0
20,=17,Odai Riyad Adel Al-Hindawi,JOR,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,28 July 1991,0,0
21,=17,Shabbos Negmatulloev,TJK,NA,"Light-Heavyweight (75-81 kilograms), Men",BOX,Male,21 September 1997,0,0
0,1,Julio César la Cruz,CUB,Gold,"Heavyweight (81-91 kilograms), Men",BOX,Male,11 August 1989,182,81
1,2,Muslim Gadzhimagomedov,ROC,Silver,"Heavyweight (81-91 kilograms), Men",BOX,Male,14 January 1997,0,0
2,=3,Abner Teixeira,BRA,Bronze,"Heavyweight (81-91 kilograms), Men",BOX,Male,10 September 1996,0,0
3,=3,David Nyika,NZL,Bronze,"Heavyweight (81-91 kilograms), Men",BOX,Male,7 August 1995,0,0
4,=5,Enmanuel Reyes,ESP,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,14 December 1992,0,0
5,=5,Ammar Abduljabbar,GER,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,1 October 1995,0,0
6,=5,Hussein Iashaish,JOR,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,6 August 1995,180,95
7,=5,Uladzislau Smiahlikau,BLR,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,5 April 1993,0,0
8,=9,Elly Ajowi Ochola,KEN,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,10 May 1983,0,0
9,=9,Abdelhafid Benchabla,ALG,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,26 September 1986,184,81
10,=9,Cheavon Clarke,GBR,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,14 December 1990,0,0
11,=9,Vasily Levit,KAZ,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,24 February 1988,185,91
12,=9,José María Lucar,PER,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,11 September 1992,0,0
13,=9,Julio Castillo,ECU,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,10 May 1988,183,91
14,=9,Ato Plodzicki-Faoagali,SAM,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,18 February 1999,0,0
15,=9,Youness Baalla,MAR,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,25 April 1999,0,0
16,17,Sanjar Tursunov,UZB,NA,"Heavyweight (81-91 kilograms), Men",BOX,Male,18 August 1998,0,0
0,1,Bakhodir Dzhalolov,UZB,Gold,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,8 July 1994,198,100
1,2,Richard Torrez,USA,Silver,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,1 June 1999,0,0
2,=3,Frazer Clarke,GBR,Bronze,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,7 August 1991,0,0
3,=3,Kamshybek Kunkabayev,KAZ,Bronze,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,18 November 1991,0,0
4,=5,Satish Kumar,IND,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,4 May 1989,0,0
5,=5,Dainier Peró,CUB,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,1 October 1999,0,0
6,=5,Ivan Veryasov,ROC,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,10 July 1993,0,0
7,=5,Mourad Aliev,FRA,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,31 July 1995,0,0
8,=9,Mahammad Abdullayev,AZE,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,6 April 1999,0,0
9,=9,Chouaib Bouloudinats,ALG,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,8 January 1987,183,91
10,=9,Tsotne Rohava,UKR,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,2 May 1993,0,0
11,=9,Yousry Hafez,EGY,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,30 August 1993,0,0
12,=9,Ricardo Brown,JAM,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,7 February 1990,0,0
13,=9,Cristian Salcedo,COL,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,27 July 1992,0,0
14,=9,Siyovush Zukhurov,TJK,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,5 June 1993,0,0
15,=9,Maxime Yegnong Njieyo,CMR,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,13 January 1994,0,0
16,17,Danis Latypov,BRN,NA,"Super-Heavyweight (>91 kilograms), Men",BOX,Male,28 September 1990,0,0
0,1,Stoyka Krasteva,BUL,Gold,"Flyweight (48-51 kilograms), Women",BOX,Female,18 September 1985,163,51
1,2,Buse Naz Çakıroğlu,TUR,Silver,"Flyweight (48-51 kilograms), Women",BOX,Female,26 May 1996,0,0
2,=3,Tsukimi Namiki,JPN,Bronze,"Flyweight (48-51 kilograms), Women",BOX,Female,17 September 1998,0,0
3,=3,Huang Hsiao-Wen,TPE,Bronze,"Flyweight (48-51 kilograms), Women",BOX,Female,31 August 1997,0,0
4,=5,Chang Yuan,CHN,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,24 June 1997,0,0
5,=5,Jutamas Jitpong,THA,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,9 February 1998,0,0
6,=5,Ingrit Valencia,COL,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,3 September 1988,160,50
7,=5,Nina Radovanović,SRB,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,19 December 1991,0,0
8,=9,Ginny Fuchs,USA,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,9 March 1988,163,51
9,=9,Tursunoy Rakhimova,UZB,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,5 June 1997,0,0
10,=9,Graziele Sousa,BRA,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,3 March 1991,0,0
11,=9,Giordana Sorrentino,ITA,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,27 April 2000,0,0
12,=9,Charley Davison,GBR,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,24 November 1993,0,0
13,=9,Irish Magno,PHI,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,27 July 1991,0,0
14,=9,Mary Kom,IND,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,1 March 1983,158,51
15,=9,Ornella Havyarimana,BDI,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,1 September 1994,170,
16,=17,Catherine Nanziri,UGA,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,13 September 1999,0,0
17,=17,Nguyễn Thị Tâm,VIE,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,4 April 1994,0,0
18,=17,Roumaysa Boualam,ALG,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,10 October 1994,0,0
19,=17,Mandy Bujold,CAN,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,25 July 1987,160,51
20,=17,Svetlana Soluyanova,ROC,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,21 September 1994,0,0
21,=17,Sandra Drabik,POL,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,13 August 1988,0,0
22,=17,Irismar Cardozo,VEN,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,2 April 1998,0,0
23,=17,Rabab Cheddar,MAR,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,7 March 1991,0,0
24,=17,Christine Ongare,KEN,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,26 November 1993,0,0
25,=17,Miguelina Hernández,DOM,NA,"Flyweight (48-51 kilograms), Women",BOX,Female,28 March 1998,0,0
0,1,Sena Irie,JPN,Gold,"Featherweight (54-57 kilograms), Women",BOX,Female,9 October 2000,0,0
1,2,Nesthy Petecio,PHI,Silver,"Featherweight (54-57 kilograms), Women",BOX,Female,11 April 1992,0,0
2,=3,Karriss Artingstall,GBR,Bronze,"Featherweight (54-57 kilograms), Women",BOX,Female,23 November 1994,0,0
3,=3,Irma Testa,ITA,Bronze,"Featherweight (54-57 kilograms), Women",BOX,Female,28 December 1997,174,60
4,=5,Maria Claudia Nechita,ROU,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,15 August 1993,0,0
5,=5,Yeni Arias,COL,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,23 December 1990,0,0
6,=5,Skye Nicolson,AUS,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,27 August 1995,0,0
7,=5,Caroline Veyre,CAN,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,4 October 1988,0,0
8,=9,Khouloud Hilmi,TUN,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,5 February 1990,0,0
9,=9,Lin Yu-Ting,TPE,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,13 December 1995,0,0
10,=9,Jucielen Romeu,BRA,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,13 April 1996,0,0
11,=9,Michaela Walsh,IRL,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,5 June 1993,0,0
12,=9,Ramla Ali,SOM,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,16 September 1989,0,0
13,=9,Stanimira Petrova,BUL,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,16 December 1990,170,51
14,=9,Im Ae-Ji,KOR,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,11 May 1999,0,0
15,=9,Nikolina Cacić,CRO,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,4 January 2001,0,0
16,=17,Marcelat Sakobi Matshu,COD,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,29 March 1996,0,0
17,=17,Keamogetse Kenosi,BOT,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,17 January 1997,0,0
18,=17,Yamileth Solorzano,ESA,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,29 May 1988,0,0
19,=17,Lyudmila Vorontsova,ROC,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,22 February 1999,0,0
20,=17,Yarisel Ramirez,USA,NA,"Featherweight (54-57 kilograms), Women",BOX,Female,11 December 1999,0,0
0,1,Kellie Harrington,IRL,Gold,"Lightweight (57-60 kilograms), Women",BOX,Female,11 December 1989,0,0
1,2,Beatriz Ferreira,BRA,Silver,"Lightweight (57-60 kilograms), Women",BOX,Female,9 December 1992,0,0
2,=3,Sudaporn Seesondee,THA,Bronze,"Lightweight (57-60 kilograms), Women",BOX,Female,4 October 1991,0,0
3,=3,Mira Potkonen,FIN,Bronze,"Lightweight (57-60 kilograms), Women",BOX,Female,17 November 1980,165,60
4,=5,Imane Khelif,ALG,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,2 May 1999,0,0
5,=5,Raykhona Kodirova,UZB,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,10 November 1993,0,0
6,=5,Caroline Dubois,GBR,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,11 January 2001,166,60
7,=5,Esra Yıldız,TUR,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,4 July 1997,0,0
8,=9,Rebecca Nicoli,ITA,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,29 September 1999,0,0
9,=9,Wu Shih-Yi,TPE,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,27 April 1998,0,0
10,=9,Simranjit Kaur Baatth,IND,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,10 July 1995,0,0
11,=9,Oh Yeon-Ji,KOR,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,4 August 1990,0,0
12,=9,Mariem Homrani,TUN,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,25 January 1991,0,0
13,=9,Naomie Yumba,COD,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,26 June 1999,0,0
14,=9,Rashida Ellis,USA,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,4 June 1995,0,0
15,=9,Dayana Sánchez,ARG,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,28 August 1992,0,0
16,=17,Maïva Hamadouche,FRA,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,4 November 1989,0,0
17,=17,María Belén Palacios,ECU,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,18 October 1998,0,0
18,=17,Donjeta Sadiku,KOS,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,8 July 1999,0,0
19,=17,Esmeralda Falcón,MEX,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,12 October 1995,0,0
20,=17,Agnes Alexiusson,SWE,NA,"Lightweight (57-60 kilograms), Women",BOX,Female,19 April 1996,170,
0,1,Busenaz Sürmeneli,TUR,Gold,"Welterweight (64-69 kilograms), Women",BOX,Female,26 May 1998,0,0
1,2,Gu Hong,CHN,Silver,"Welterweight (64-69 kilograms), Women",BOX,Female,6 November 1988,0,0
2,=3,Lovlina Borgohain,IND,Bronze,"Welterweight (64-69 kilograms), Women",BOX,Female,2 October 1997,0,0
3,=3,Oshae Jones,USA,Bronze,"Welterweight (64-69 kilograms), Women",BOX,Female,3 January 1998,0,0
4,=5,Anna Lysenko,UKR,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,22 December 1991,0,0
5,=5,Acinda Helena Panguana,MOZ,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,27 February 1994,0,0
6,=5,Chen Nien-Chin,TPE,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,10 May 1997,169,75
7,=5,María Altagracia Moronta,DOM,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,6 July 1996,0,0
8,=9,Karolina Koszewska,POL,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,7 January 1982,0,0
9,=9,Baison Manikon,THA,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,7 November 2001,0,0
10,=9,Nadine Apetz,GER,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,3 January 1986,0,0
11,=9,Brianda Tamara Cruz,MEX,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,22 December 1998,0,0
12,=9,Oumayma Bel Ahbib,MAR,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,21 August 1996,0,0
13,=9,Elizabeth Akinyi,KEN,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,25 September 1993,0,0
14,=9,Angela Carini,ITA,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,6 October 1998,0,0
15,=9,Myriam Da Silva,CAN,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,15 April 1984,0,0
16,=17,Shakhnoza Yunusova,UZB,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,2 January 1999,0,0
17,=17,Saadat Dalgatova,ROC,NA,"Welterweight (64-69 kilograms), Women",BOX,Female,30 October 1988,0,0
0,1,Lauren Price,GBR,Gold,"Middleweight (69-75 kilograms), Women",BOX,Female,25 June 1994,0,0
1,2,Li Qian,CHN,Silver,"Middleweight (69-75 kilograms), Women",BOX,Female,6 June 1990,180,75
2,=3,Nouchka Fontijn,NED,Bronze,"Middleweight (69-75 kilograms), Women",BOX,Female,9 November 1987,180,75
3,=3,Zemfira Magomedaliyeva,ROC,Bronze,"Middleweight (69-75 kilograms), Women",BOX,Female,8 February 1988,0,0
