,Position,Athlete,NOC,Medal,Event,Sport,Sex,Birth,Height,Weight,Age
1439,14,Nick Matveev,CAN,,"Kayak Singles, 200 metres, Men",CAN,Male,1997-08-07,0,0,23
1440,15,Rubén Rézola,ARG,,"Kayak Singles, 200 metres, Men",CAN,Male,1991-04-21,174,80,30
1441,16,Momotaro Matsushita,JPN,,"Kayak Singles, 200 metres, Men",CAN,Male,1988-03-03,168,75,33
1442,17,Mark de Jonge,CAN,,"Kayak Singles, 200 metres, Men",CAN,Male,1984-02-15,180,91,37
1443,18,Oleg Gusev,ROC,,"Kayak Singles, 200 metres, Men",CAN,Male,1996-04-24,0,0,25
1444,19,Yang Xiaoxu,CHN,,"Kayak Singles, 200 metres, Men",CAN,Male,1996-10-20,0,0,24
1445,20,Bojan Zdelar,SRB,,"Kayak Singles, 200 metres, Men",CAN,Male,2000-04-11,0,0,21
1446,21,Momen Mahran,EGY,,"Kayak Singles, 200 metres, Men",CAN,Male,1996-08-20,0,0,24
1447,22,Tuva'a Clifton,SAM,,"Kayak Singles, 200 metres, Men",CAN,Male,1997-06-29,0,0,24
1448,23,Amado Cruz,BIZ,,"Kayak Singles, 200 metres, Men",CAN,Male,1987-11-17,0,0,33
1449,24,Rudolf Berking-Williams,SAM,,"Kayak Singles, 200 metres, Men",CAN,Male,1978-08-30,186,86,42
1450,25,Kohl Horton,COK,,"Kayak Singles, 200 metres, Men",CAN,Male,2004-05-04,0,0,17
1451,1,Bálint Kopasz,HUN,Gold,"Kayak Singles, 1,000 metres, Men",CAN,Male,1997-06-20,181,72,24
1452,2,Ádám Varga,HUN,Silver,"Kayak Singles, 1,000 metres, Men",CAN,Male,1999-11-20,194,,21
1453,3,Fernando Pimenta,POR,Bronze,"Kayak Singles, 1,000 metres, Men",CAN,Male,1989-08-13,178,82,31
1454,4,Jacob Schopf,GER,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1999-06-08,0,0,22
1455,5,Josef Dostál,CZE,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1993-03-03,202,115,28
1456,6,Zhang Dong,CHN,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1996-11-18,0,0,24
1457,7,Thomas Green,AUS,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1999-06-03,0,0,22
1458,8,Agustín Vernice,ARG,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1995-07-03,0,0,26
1459,9,Samuele Burgo,ITA,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1998-03-20,0,0,23
1460,10,Artuur Peters,BEL,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1996-10-26,193,97,24
1461,11,Jean Van Der Westhuyzen,AUS,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1998-12-09,0,0,22
1462,12,Aleh Yurenia,BLR,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1990-05-21,186,90,31
1463,13,Maksim Spesivtsev,ROC,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1994-04-08,0,0,27
1464,14,Peter Gelle,SVK,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1984-08-23,183,82,36
1465,15,Étienne Hubert,FRA,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1988-01-27,185,86,33
1466,16,Bojan Zdelar,SRB,,"Kayak Singles, 1,000 metres, Men",CAN,Male,2000-04-11,0,0,21
1467,17,Roman Anoshkin,ROC,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1987-08-31,192,95,33
1468,18,Lars Magne Ullvang,NOR,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1994-08-01,190,,26
1469,19,Vagner Souta,BRA,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1991-02-10,187,84,30
1470,20,Simon McTavish,CAN,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1996-07-19,0,0,25
1471,21,Saeid Fazloula,EOR,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1992-08-09,0,0,28
1472,22,Guillaume Burger,FRA,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1989-01-25,0,0,32
1473,23,Ali Aghamirzaei,IRI,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1993-03-04,0,0,28
1474,24,Mohamed Mrabet,TUN,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1990-01-01,182,84,31
1475,25,Amado Cruz,BIZ,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1987-11-17,0,0,33
1476,26,Tuva'a Clifton,SAM,,"Kayak Singles, 1,000 metres, Men",CAN,Male,1997-06-29,0,0,24
1477,27,Kohl Horton,COK,,"Kayak Singles, 1,000 metres, Men",CAN,Male,2004-05-04,0,0,17
1478,1,Isaquias Queiroz,BRA,Gold,"Canadian Singles, 1,000 metres, Men",CAN,Male,1994-01-03,175,85,27
1479,2,Liu Hao,CHN,Silver,"Canadian Singles, 1,000 metres, Men",CAN,Male,1993-09-06,0,0,27
1480,3,Serghei Tarnovschi,MDA,Bronze,"Canadian Singles, 1,000 metres, Men",CAN,Male,1997-06-24,178,80,24
1481,4,Adrien Bart,FRA,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1991-09-04,185,84,29
1482,5,Martin Fuksa,CZE,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1993-04-30,180,83,28
1483,6,Conrad Scheibner,GER,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1996-05-07,0,0,25
1484,7,Fernando Jorge,CUB,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1998-12-03,173,70,22
1485,8,Zheng Pengfei,CHN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1993-04-07,0,0,28
1486,9,José Ramón Pelier,CUB,,"Canadian Singles, 1,000 metres, Men",CAN,Male,2001-02-07,0,0,20
1487,10,Sebastian Brendel,GER,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1988-03-12,192,92,33
1488,11,Catalin Chirila,ROU,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1998-05-11,0,0,23
1489,12,Pavlo Altukhov,UKR,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1995-12-23,185,90,25
1490,13,Wiktor Głazunow,POL,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1993-10-24,0,0,27
1491,14,Connor Fitzpatrick,CAN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1998-08-13,0,0,22
1492,15,Balázs Adolf,HUN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1999-09-05,188,,21
1493,16,Yuriy Vandiuk,UKR,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1994-05-07,0,0,27
1494,17,Mateusz Kamiński,POL,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1991-05-03,189,83,30
1495,18,Pablo Martínez,ESP,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1997-12-12,0,0,23
1496,19,Viktor Melantyev,ROC,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1986-06-02,195,95,35
1497,20,"Petr Fuksa, Jr.",CZE,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1998-08-09,0,0,22
1498,21,Victor Mihalachi,ROU,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1989-02-24,172,78,32
1499,22,Jacky Jamael Nascimento Godmann,BRA,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1999-04-14,0,0,22
1500,23,Vladislav Chebotar,ROC,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1997-02-22,0,0,24
1501,24,Sergey Yemelyanov,KAZ,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1995-05-19,0,0,26
1502,25,Dániel Fejes,HUN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1999-11-14,178,78,21
1503,26,Roland Varga,CAN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1990-08-06,0,0,30
1504,27,Cayetano García,ESP,,"Canadian Singles, 1,000 metres, Men",CAN,Male,2001-07-31,0,0,19
1505,28,Ghailene Khattali,TUN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,2000-06-17,0,0,21
1506,29,Takanori Tome,JPN,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1992-12-21,0,0,28
1507,30,Buly Triste,STP,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1991-07-04,164,58,30
1508,31,Joaquim Lobo,MOZ,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1995-01-06,172,66,26
1509,32,Roque Fernandes Dos Ramos,STP,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1998-01-13,0,0,23
1510,DNS,Rudolf Berking-Williams,SAM,,"Canadian Singles, 1,000 metres, Men",CAN,Male,1978-08-30,186,86,42
1511,1,Lisa Carrington,NZL,Gold,"Kayak Singles, 200 metres, Women",CAN,Female,1989-06-23,168,63,32
1512,2,Teresa Portela,ESP,Silver,"Kayak Singles, 200 metres, Women",CAN,Female,1982-05-05,172,69,39
1513,3,Emma Jørgensen,DEN,Bronze,"Kayak Singles, 200 metres, Women",CAN,Female,1996-01-30,169,70,25
1514,4,Marta Walczykiewicz,POL,,"Kayak Singles, 200 metres, Women",CAN,Female,1987-08-01,165,63,34
1515,5,Linnea Stensils,SWE,,"Kayak Singles, 200 metres, Women",CAN,Female,1994-03-08,178,69,27
1516,6,Dóra Lucz,HUN,,"Kayak Singles, 200 metres, Women",CAN,Female,1994-09-26,171,,26
1517,7,Francesca Genzo,ITA,,"Kayak Singles, 200 metres, Women",CAN,Female,1993-09-09,0,0,27
1518,8,Deborah Kerr,GBR,,"Kayak Singles, 200 metres, Women",CAN,Female,1997-11-17,0,0,23
1519,9,Andréanne Langlois,CAN,,"Kayak Singles, 200 metres, Women",CAN,Female,1993-04-01,158,59,28
1520,10,Teresa Portela,POR,,"Kayak Singles, 200 metres, Women",CAN,Female,1987-10-30,162,63,33
1521,11,Svetlana Chernigovskaya,ROC,,"Kayak Singles, 200 metres, Women",CAN,Female,1994-04-14,0,0,27
1522,12,Yin Mengdie,CHN,,"Kayak Singles, 200 metres, Women",CAN,Female,1997-11-17,0,0,23
1523,13,Michelle Russell,CAN,,"Kayak Singles, 200 metres, Women",CAN,Female,1992-06-27,0,0,29
1524,14,Milica Novaković,SRB,,"Kayak Singles, 200 metres, Women",CAN,Female,1988-05-19,176,74,33
1525,15,Ma Qing,CHN,,"Kayak Singles, 200 metres, Women",CAN,Female,1992-08-24,174,68,28
1526,16,Anna Kárász,HUN,,"Kayak Singles, 200 metres, Women",CAN,Female,1991-09-20,172,,29
1527,17,Helena Wiśniewska,POL,,"Kayak Singles, 200 metres, Women",CAN,Female,1999-04-18,0,0,22
1528,18,Emily Lewis,GBR,,"Kayak Singles, 200 metres, Women",CAN,Female,1993-05-15,0,0,28
1529,19,Vanina Paoletti,FRA,,"Kayak Singles, 200 metres, Women",CAN,Female,1997-12-10,0,0,23
1530,20,Nataliya Podolskaya,ROC,,"Kayak Singles, 200 metres, Women",CAN,Female,1993-10-14,170,64,27
1531,21,Anamaria Govorčinović,CRO,,"Kayak Singles, 200 metres, Women",CAN,Female,1997-05-17,0,0,24
1532,22,Léa Jamelot,FRA,,"Kayak Singles, 200 metres, Women",CAN,Female,1992-11-28,168,65,28
1533,23,Joana Vasconcelos,POR,,"Kayak Singles, 200 metres, Women",CAN,Female,1991-02-22,169,62,30
1534,24,Sara Corfixsen Milthers,DEN,,"Kayak Singles, 200 metres, Women",CAN,Female,2002-01-14,0,0,19
1535,25,Yuliya Yuriychuk,UKR,,"Kayak Singles, 200 metres, Women",CAN,Female,1998-07-01,0,0,23
1536,26,Mariya Kichasova-Skoryk,UKR,,"Kayak Singles, 200 metres, Women",CAN,Female,1993-07-20,0,0,28
1537,27,Brenda Rojas,ARG,,"Kayak Singles, 200 metres, Women",CAN,Female,1995-10-15,166,64,25
1538,28,Yuka Ono,JPN,,"Kayak Singles, 200 metres, Women",CAN,Female,1990-08-02,0,0,30
1539,29,Khaoula Sassi,TUN,,"Kayak Singles, 200 metres, Women",CAN,Female,1998-03-15,0,0,23
1540,30,Nataliya Sergeyeva,KAZ,,"Kayak Singles, 200 metres, Women",CAN,Female,1976-05-03,164,64,45
1541,31,Anne Cairns,SAM,,"Kayak Singles, 200 metres, Women",CAN,Female,1981-01-11,0,0,40
1542,32,Samaa Ahmed,EGY,,"Kayak Singles, 200 metres, Women",CAN,Female,1998-07-22,0,0,23
1543,33,Jade Tierney,COK,,"Kayak Singles, 200 metres, Women",CAN,Female,2004-04-18,0,0,17
1544,34,Amira Kheris,ALG,,"Kayak Singles, 200 metres, Women",CAN,Female,1999-01-25,0,0,22
1545,1,Lisa Carrington,NZL,Gold,"Kayak Singles, 500 metres, Women",CAN,Female,1989-06-23,168,63,32
1546,2,Tamara Csipes,HUN,Silver,"Kayak Singles, 500 metres, Women",CAN,Female,1989-08-24,176,78,31
1547,3,Emma Jørgensen,DEN,Bronze,"Kayak Singles, 500 metres, Women",CAN,Female,1996-01-30,169,70,25
1548,4,Danuta Kozák,HUN,,"Kayak Singles, 500 metres, Women",CAN,Female,1987-01-11,168,63,34
1549,5,Linnea Stensils,SWE,,"Kayak Singles, 500 metres, Women",CAN,Female,1994-03-08,178,69,27
1550,6,Hermien Peters,BEL,,"Kayak Singles, 500 metres, Women",CAN,Female,1994-11-19,0,0,26
1551,7,Teresa Portela,POR,,"Kayak Singles, 500 metres, Women",CAN,Female,1987-10-30,162,63,33
1552,8,Alyce Wood,AUS,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-08-11,182,71,28
1553,9,Caitlin Regal,NZL,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-02-09,178,95,29
1554,10,Sabrina Hering-Pradler,GER,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-02-16,167,70,29
1555,11,Justyna Iskrzycka,POL,,"Kayak Singles, 500 metres, Women",CAN,Female,1997-11-07,0,0,23
1556,12,Milica Novaković,SRB,,"Kayak Singles, 500 metres, Women",CAN,Female,1988-05-19,176,74,33
1557,13,Marta Walczykiewicz,POL,,"Kayak Singles, 500 metres, Women",CAN,Female,1987-08-01,165,63,34
1558,14,Volha Khudzenka,BLR,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-05-12,178,78,29
1559,15,Mariya Povkh,UKR,,"Kayak Singles, 500 metres, Women",CAN,Female,1989-01-08,166,64,32
1560,16,Alyssa Bull,AUS,,"Kayak Singles, 500 metres, Women",CAN,Female,1995-12-01,173,65,25
1561,17,Anja Osterman,SLO,,"Kayak Singles, 500 metres, Women",CAN,Female,1993-01-27,0,0,28
1562,18,Jule Hake,GER,,"Kayak Singles, 500 metres, Women",CAN,Female,1999-09-24,0,0,21
1563,19,Isabel Contreras,ESP,,"Kayak Singles, 500 metres, Women",CAN,Female,1989-02-25,0,0,32
1564,20,Špela Ponomarenko Janić,SLO,,"Kayak Singles, 500 metres, Women",CAN,Female,1981-10-02,169,65,39
1565,21,Lize Broekx,BEL,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-04-05,0,0,29
1566,22,Maryna Litvinchuk,BLR,,"Kayak Singles, 500 metres, Women",CAN,Female,1988-03-12,178,68,33
1567,23,Manon Hostens,FRA,,"Kayak Singles, 500 metres, Women",CAN,Female,1994-06-07,169,62,27
1568,24,Vicki Schwarz,AUT,,"Kayak Singles, 500 metres, Women",CAN,Female,1985-07-02,173,65,36
1569,25,Michelle Russell,CAN,,"Kayak Singles, 500 metres, Women",CAN,Female,1992-06-27,0,0,29
1570,26,Deborah Kerr,GBR,,"Kayak Singles, 500 metres, Women",CAN,Female,1997-11-17,0,0,23
1571,27,Svetlana Chernigovskaya,ROC,,"Kayak Singles, 500 metres, Women",CAN,Female,1994-04-14,0,0,27
1572,28,Yin Mengdie,CHN,,"Kayak Singles, 500 metres, Women",CAN,Female,1997-11-17,0,0,23
1573,29,Brenda Rojas,ARG,,"Kayak Singles, 500 metres, Women",CAN,Female,1995-10-15,166,64,25
1574,30,Yuliya Yuriychuk,UKR,,"Kayak Singles, 500 metres, Women",CAN,Female,1998-07-01,0,0,23
1575,31,Emily Lewis,GBR,,"Kayak Singles, 500 metres, Women",CAN,Female,1993-05-15,0,0,28
1576,32,Kira Stepanova,ROC,,"Kayak Singles, 500 metres, Women",CAN,Female,1993-11-12,183,81,27
1577,33,Huang Jieyi,CHN,,"Kayak Singles, 500 metres, Women",CAN,Female,1993-01-16,174,68,28
1578,34,Ana Roxana Lehaci,AUT,,"Kayak Singles, 500 metres, Women",CAN,Female,1990-08-11,169,62,30
1579,35,Anamaria Govorčinović,CRO,,"Kayak Singles, 500 metres, Women",CAN,Female,1997-05-17,0,0,24
1580,36,Nataliya Sergeyeva,KAZ,,"Kayak Singles, 500 metres, Women",CAN,Female,1976-05-03,164,64,45
1581,37,Joana Vasconcelos,POR,,"Kayak Singles, 500 metres, Women",CAN,Female,1991-02-22,169,62,30
1582,38,Francesca Genzo,ITA,,"Kayak Singles, 500 metres, Women",CAN,Female,1993-09-09,0,0,27
1583,39,Anne Cairns,SAM,,"Kayak Singles, 500 metres, Women",CAN,Female,1981-01-11,0,0,40
1584,40,Samaa Ahmed,EGY,,"Kayak Singles, 500 metres, Women",CAN,Female,1998-07-22,0,0,23
1585,41,Amira Kheris,ALG,,"Kayak Singles, 500 metres, Women",CAN,Female,1999-01-25,0,0,22
1586,1,Nevin Harrison,USA,Gold,"Canadian Singles, 200 metres, Women",CAN,Female,2002-06-02,175,73,19
1587,2,Laurence Vincent-Lapointe,CAN,Silver,"Canadian Singles, 200 metres, Women",CAN,Female,1992-05-27,0,0,29
1588,3,Liudmyla Luzan,UKR,Bronze,"Canadian Singles, 200 metres, Women",CAN,Female,1997-03-27,0,0,24
1589,4,Dorota Borowska,POL,,"Canadian Singles, 200 metres, Women",CAN,Female,1996-02-22,0,0,25
1590,5,Antia Jacome,ESP,,"Canadian Singles, 200 metres, Women",CAN,Female,1999-11-22,0,0,21
1591,6,Lin Wenjun,CHN,,"Canadian Singles, 200 metres, Women",CAN,Female,1997-06-03,0,0,24
1592,7,Olesya Romasenko,ROC,,"Canadian Singles, 200 metres, Women",CAN,Female,1990-01-12,0,0,31
1593,8,Katie Vincent,CAN,,"Canadian Singles, 200 metres, Women",CAN,Female,1996-03-12,0,0,25
1594,9,Virág Balla,HUN,,"Canadian Singles, 200 metres, Women",CAN,Female,1994-06-26,167,,27
1595,10,María Mailliard,CHI,,"Canadian Singles, 200 metres, Women",CAN,Female,1991-01-24,0,0,30
1596,11,Alena Nazdrova,BLR,,"Canadian Singles, 200 metres, Women",CAN,Female,1998-11-10,0,0,22
1597,12,Yarisleidis Cirilo,CUB,,"Canadian Singles, 200 metres, Women",CAN,Female,2002-05-10,0,0,19
1598,13,Lisa Jahn,GER,,"Canadian Singles, 200 metres, Women",CAN,Female,1994-02-25,0,0,27
1599,14,Kincső Takács,HUN,,"Canadian Singles, 200 metres, Women",CAN,Female,1993-09-17,167,,27
1600,15,Irina Andreyeva,ROC,,"Canadian Singles, 200 metres, Women",CAN,Female,1994-09-26,0,0,26
1601,16,Katherin Nuevo,CUB,,"Canadian Singles, 200 metres, Women",CAN,Female,2002-10-24,0,0,18
1602,17,Anastasiya Chetverikova,UKR,,"Canadian Singles, 200 metres, Women",CAN,Female,1998-04-13,0,0,23
1603,18,Dilnoza Rakhmatova,UZB,,"Canadian Singles, 200 metres, Women",CAN,Female,1998-02-07,0,0,23
1604,19,Ayomide Bello,NGR,,"Canadian Singles, 200 metres, Women",CAN,Female,2002-04-04,145,51,19
1605,20,Katie Reid,GBR,,"Canadian Singles, 200 metres, Women",CAN,Female,1995-02-26,0,0,26
1606,21,Bernadette Wallace,AUS,,"Canadian Singles, 200 metres, Women",CAN,Female,1989-08-08,0,0,31
1607,22,Vanesa Tot,CRO,,"Canadian Singles, 200 metres, Women",CAN,Female,1999-07-12,0,0,22
1608,23,Orasa Thiangkathok,THA,,"Canadian Singles, 200 metres, Women",CAN,Female,1998-06-18,0,0,23
1609,24,Daniela Cociu,MDA,,"Canadian Singles, 200 metres, Women",CAN,Female,2000-05-04,0,0,21
1610,25,Sophie Koch,GER,,"Canadian Singles, 200 metres, Women",CAN,Female,1997-10-04,0,0,23
1611,26,Staniliya Stamenova,BUL,,"Canadian Singles, 200 metres, Women",CAN,Female,1988-06-02,0,0,33
1612,27,Nilufar Zokirova,UZB,,"Canadian Singles, 200 metres, Women",CAN,Female,1997-06-15,0,0,24
1613,28,Maria Olarasu,MDA,,"Canadian Singles, 200 metres, Women",CAN,Female,2000-05-28,0,0,21
1614,29,Margarita Torlopova,KAZ,,"Canadian Singles, 200 metres, Women",CAN,Female,1998-10-21,0,0,22
1615,30,Teruko Kiriake,JPN,,"Canadian Singles, 200 metres, Women",CAN,Female,1996-11-06,0,0,24
1616,31,Manaka Kubota,JPN,,"Canadian Singles, 200 metres, Women",CAN,Female,1996-07-09,0,0,25
1617,32,Josephine Bulmer,AUS,,"Canadian Singles, 200 metres, Women",CAN,Female,1996-10-18,0,0,24
1618,1,Logan Martin,AUS,Gold,"Park, Men",BMF,Male,1993-11-22,0,0,27
1619,2,Daniel Dhers,VEN,Silver,"Park, Men",BMF,Male,1985-03-25,0,0,36
1620,3,Declan Brooks,GBR,Bronze,"Park, Men",BMF,Male,1996-07-10,0,0,25
1621,4,Kenneth Tencio,CRC,,"Park, Men",BMF,Male,1993-12-06,0,0,27
1622,5,Rimu Nakamura,JPN,,"Park, Men",BMF,Male,2002-02-09,0,0,19
1623,6,Irek Rizayev,ROC,,"Park, Men",BMF,Male,1997-10-01,0,0,23
1624,7,Anthony Jeanjean,FRA,,"Park, Men",BMF,Male,1998-05-13,0,0,23
1625,8,Justin Dowell,USA,,"Park, Men",BMF,Male,2000-01-05,0,0,21
1626,9,Nick Bruce,USA,,"Park, Men",BMF,Male,1992-05-16,0,0,29
1627,1,Charlotte Worthington,GBR,Gold,"Park, Women",BMF,Female,1996-06-26,0,0,25
1628,2,Hannah Roberts,USA,Silver,"Park, Women",BMF,Female,2001-08-10,0,0,19
1629,3,Nikita Ducarroz,SUI,Bronze,"Park, Women",BMF,Female,1996-08-12,0,0,24
1630,4,Perris Benegas,USA,,"Park, Women",BMF,Female,1995-07-22,0,0,26
1631,5,Natalya Diehm,AUS,,"Park, Women",BMF,Female,1997-09-23,0,0,23
1632,6,Lara Lessmann,GER,,"Park, Women",BMF,Female,2000-02-10,164,59,21
1633,7,Minato Oike,JPN,,"Park, Women",BMF,Female,1996-12-02,0,0,24
1634,8,Macarena Pérez,CHI,,"Park, Women",BMF,Female,1996-12-19,0,0,24
1635,9,Yelizaveta Posadskikh,ROC,,"Park, Women",BMF,Female,1994-03-10,0,0,27
1636,1,Niek Kimmann,NED,Gold,"BMX, Men",BMX,Male,1996-05-20,189,90,25
1637,2,Kye Whyte,GBR,Silver,"BMX, Men",BMX,Male,1999-09-21,0,0,21
1638,3,Carlos Ramírez,COL,Bronze,"BMX, Men",BMX,Male,1994-03-12,178,65,27
1639,4,Sylvain Andre,FRA,,"BMX, Men",BMX,Male,1992-10-14,0,0,28
1640,5,Alfredo Campo,ECU,,"BMX, Men",BMX,Male,1993-03-02,192,90,28
1641,6,Romain Mahieu,FRA,,"BMX, Men",BMX,Male,1995-02-17,0,0,26
1642,7,Joris Daudet,FRA,,"BMX, Men",BMX,Male,1991-02-12,184,78,30
1643,8,Connor Fields,USA,,"BMX, Men",BMX,Male,1992-09-14,183,88,28
1644,9,Exequiel Torres,ARG,,"BMX, Men",BMX,Male,1997-09-09,0,0,23
1645,10,Vincent Pelluard,COL,,"BMX, Men",BMX,Male,1990-05-31,0,0,31
1646,11,David Graf,SUI,,"BMX, Men",BMX,Male,1989-09-08,180,79,31
1647,12,Tore Navrestad,NOR,,"BMX, Men",BMX,Male,1996-02-19,180,,25
1648,13,Joris Harmsen,NED,,"BMX, Men",BMX,Male,1992-11-26,0,0,28
1649,14,Renato Rezende,BRA,,"BMX, Men",BMX,Male,1991-02-28,171,72,30
1650,15,Corben Sharrah,USA,,"BMX, Men",BMX,Male,1992-04-20,183,85,29
1651,16,Twan van Gendt,NED,,"BMX, Men",BMX,Male,1992-06-09,178,85,29
1652,17,Yoshitaku Nagasako,JPN,,"BMX, Men",BMX,Male,1993-09-16,172,70,27
1653,18,Giacomo Fantoni,ITA,,"BMX, Men",BMX,Male,1991-03-18,0,0,30
1654,19,Simon Marquart,SUI,,"BMX, Men",BMX,Male,1996-11-01,0,0,24
1655,20,Helvijs Babris,LAT,,"BMX, Men",BMX,Male,1998-05-13,0,0,23
1656,21,James Palmer,CAN,,"BMX, Men",BMX,Male,1994-11-03,0,0,26
1657,22,Anthony Dean,AUS,,"BMX, Men",BMX,Male,1991-04-22,175,87,30
1658,23,Yevgeny Kleshchenko,ROC,,"BMX, Men",BMX,Male,1992-01-16,0,0,29
1659,24,Alex Limberg,RSA,,"BMX, Men",BMX,Male,1996-11-27,0,0,24
1660,1,Beth Shriever,GBR,Gold,"BMX, Women",BMX,Female,1999-04-19,0,0,22
1661,2,Mariana Pajón,COL,Silver,"BMX, Women",BMX,Female,1991-10-10,158,50,29
1662,3,Merel Smulders,NED,Bronze,"BMX, Women",BMX,Female,1998-01-23,0,0,23
1663,4,Felicia Stancil,USA,,"BMX, Women",BMX,Female,1995-05-18,173,,26
1664,5,Lauren Reynolds,AUS,,"BMX, Women",BMX,Female,1991-06-25,176,69,30
1665,6,Simone Christensen,DEN,,"BMX, Women",BMX,Female,1994-02-10,170,68,27
1666,7,Axelle Etienne,FRA,,"BMX, Women",BMX,Female,1998-03-26,0,0,23
1667,8,Drew Mechielsen,CAN,,"BMX, Women",BMX,Female,1997-08-19,0,0,23
1668,9,Saya Sakakibara,AUS,,"BMX, Women",BMX,Female,1999-08-23,0,0,21
1669,10,Nataliya Afremova,ROC,,"BMX, Women",BMX,Female,1998-11-14,0,0,22
1670,11,Elke Vanhoof,BEL,,"BMX, Women",BMX,Female,1991-12-16,163,60,29
1671,12,Rebecca Petch,NZL,,"BMX, Women",BMX,Female,1998-07-09,0,0,23
1672,13,Judy Baauw,NED,,"BMX, Women",BMX,Female,1994-02-12,0,0,27
1673,14,Zoé Claessens,SUI,,"BMX, Women",BMX,Female,2001-04-28,0,0,20
1674,15,Alise Willoughby,USA,,"BMX, Women",BMX,Female,1991-01-17,158,58,30
1675,16,Laura Smulders,NED,,"BMX, Women",BMX,Female,1993-12-09,170,73,27
1676,17,Payton Ridenour,USA,,"BMX, Women",BMX,Female,2002-05-29,0,0,19
1677,18,Domenica Azuero,ECU,,"BMX, Women",BMX,Female,1996-03-22,0,0,25
1678,19,Nataliya Suvorova,ROC,,"BMX, Women",BMX,Female,1995-08-22,0,0,25
1679,20,Manon Valentino,FRA,,"BMX, Women",BMX,Female,1990-08-25,172,64,30
1680,21,Vineta Pētersone,LAT,,"BMX, Women",BMX,Female,1999-05-21,0,0,22
1681,22,Priscilla Carnaval,BRA,,"BMX, Women",BMX,Female,1993-12-02,156,58,27
1682,23,Chutikan Kitwanitsathian,THA,,"BMX, Women",BMX,Female,1998-10-09,0,0,22
1683,24,Sae Hatakeyama,JPN,,"BMX, Women",BMX,Female,1999-06-07,0,0,22
1684,1,Tom Pidcock,GBR,Gold,"Cross-Country, Men",MTB,Male,1999-07-30,0,0,21
1685,2,Mathias Flückiger,SUI,Silver,"Cross-Country, Men",MTB,Male,1988-09-27,172,65,32
1686,3,David Valero,ESP,Bronze,"Cross-Country, Men",MTB,Male,1988-12-27,189,76,32
1687,4,Nino Schurter,SUI,,"Cross-Country, Men",MTB,Male,1986-05-13,173,68,35
1688,5,Victor Koretzky,FRA,,"Cross-Country, Men",MTB,Male,1994-08-26,180,69,26
1689,6,Anton Cooper,NZL,,"Cross-Country, Men",MTB,Male,1994-08-11,0,0,26
